ID,Store,CrustDescription,Topping,Diameter
1,Dominos,ThinNCrispy,Supreme,29.4
2,Dominos,ThinNCrispy,BBQMeatlovers,29.63
3,Dominos,DeepPan,Hawaiian,27.06
4,Dominos,ThinNCrispy,Supreme,27.45
5,Dominos,ClassicCrust,Hawaiian,26.59
6,Dominos,DeepPan,BBQMeatlovers,27.16
7,EagleBoys,MidCrust,SuperSupremo,29.15
8,EagleBoys,DeepPan,Hawaiian,28.78
9,EagleBoys,ThinCrust,BBQMeatlovers,30.05
10,EagleBoys,DeepPan,BBQMeatlovers,29.38
11,EagleBoys,ThinCrust,SuperSupremo,29.14
12,EagleBoys,MidCrust,Hawaiian,29.24
13,EagleBoys,MidCrust,BBQMeatlovers,28.97
14,EagleBoys,ThinCrust,Hawaiian,29.98
15,EagleBoys,MidCrust,Hawaiian,28.93
16,EagleBoys,ThinCrust,SuperSupremo,29.47
17,EagleBoys,ThinCrust,SuperSupremo,30
18,EagleBoys,ThinCrust,Hawaiian,30.01
19,EagleBoys,MidCrust,BBQMeatlovers,28.66
20,EagleBoys,ThinCrust,Hawaiian,30.44
21,Dominos,ThinNCrispy,Supreme,26.38
22,Dominos,ThinNCrispy,Hawaiian,28.86
23,Dominos,DeepPan,BBQMeatlovers,26.6
24,Dominos,ClassicCrust,Hawaiian,26.65
25,Dominos,DeepPan,Supreme,26.5
26,Dominos,ClassicCrust,Supreme,26.55
27,Dominos,DeepPan,Supreme,26.64
28,Dominos,ClassicCrust,BBQMeatlovers,26.15
29,Dominos,ThinNCrispy,Hawaiian,28.92
30,Dominos,DeepPan,Supreme,26.87
31,Dominos,ClassicCrust,BBQMeatlovers,26.56
32,Dominos,ClassicCrust,Hawaiian,26.65
33,Dominos,DeepPan,Supreme,26.61
34,Dominos,ThinNCrispy,Hawaiian,28.75
35,Dominos,ThinNCrispy,Supreme,29.33
36,Dominos,ThinNCrispy,BBQMeatlovers,29
37,Dominos,DeepPan,Hawaiian,26.34
38,Dominos,ClassicCrust,BBQMeatlovers,27.2
39,Dominos,ClassicCrust,BBQMeatlovers,26.61
40,EagleBoys,DeepPan,SuperSupremo,28.73
41,EagleBoys,DeepPan,BBQMeatlovers,28.48
42,EagleBoys,DeepPan,SuperSupremo,29.01
43,EagleBoys,MidCrust,BBQMeatlovers,28.73
44,EagleBoys,MidCrust,Hawaiian,28.6
45,EagleBoys,DeepPan,Hawaiian,29.59
46,EagleBoys,DeepPan,SuperSupremo,29.04
47,EagleBoys,MidCrust,BBQMeatlovers,29.03
48,EagleBoys,ThinCrust,BBQMeatlovers,29.75
49,EagleBoys,DeepPan,SuperSupremo,28.95
50,EagleBoys,DeepPan,BBQMeatlovers,29.38
51,EagleBoys,MidCrust,SuperSupremo,28.72
52,EagleBoys,DeepPan,SuperSupremo,28.6
53,EagleBoys,ThinCrust,Hawaiian,29.9
54,EagleBoys,ThinCrust,Hawaiian,29.4
55,EagleBoys,MidCrust,BBQMeatlovers,28.99
56,Dominos,DeepPan,BBQMeatlovers,25.98
57,Dominos,ThinNCrispy,Hawaiian,29.04
58,Dominos,ThinNCrispy,Hawaiian,29.01
59,Dominos,DeepPan,Supreme,26.67
60,Dominos,ClassicCrust,BBQMeatlovers,26.97
61,Dominos,ThinNCrispy,Hawaiian,29.37
62,Dominos,DeepPan,Supreme,26.09
63,Dominos,ThinNCrispy,Supreme,29.32
64,Dominos,DeepPan,Supreme,27.12
65,Dominos,DeepPan,BBQMeatlovers,26.37
66,EagleBoys,ThinCrust,Hawaiian,30.35
67,EagleBoys,MidCrust,SuperSupremo,29.08
68,EagleBoys,DeepPan,Hawaiian,28.29
69,EagleBoys,DeepPan,SuperSupremo,28.97
70,Dominos,ClassicCrust,Supreme,26.83
71,Dominos,DeepPan,Hawaiian,26.74
72,EagleBoys,DeepPan,Hawaiian,29.82
73,Dominos,ThinNCrispy,BBQMeatlovers,28.67
74,Dominos,ThinNCrispy,BBQMeatlovers,29.11
75,Dominos,DeepPan,Hawaiian,26.45
76,Dominos,ClassicCrust,Supreme,27.04
77,Dominos,ClassicCrust,BBQMeatlovers,26.93
78,Dominos,ClassicCrust,BBQMeatlovers,26.41
79,Dominos,ThinNCrispy,Hawaiian,29.19
80,EagleBoys,ThinCrust,Hawaiian,29.42
81,EagleBoys,MidCrust,BBQMeatlovers,28.65
82,EagleBoys,ThinCrust,SuperSupremo,30.51
83,EagleBoys,MidCrust,Hawaiian,29.32
84,EagleBoys,DeepPan,BBQMeatlovers,28.68
85,Dominos,ThinNCrispy,Hawaiian,29.66
86,Dominos,ThinNCrispy,Supreme,29.17
87,Dominos,ClassicCrust,Hawaiian,26.78
88,Dominos,DeepPan,BBQMeatlovers,26.58
89,Dominos,ClassicCrust,BBQMeatlovers,27.27
90,Dominos,DeepPan,Supreme,27.14
91,EagleBoys,DeepPan,SuperSupremo,28.98
92,EagleBoys,ThinCrust,BBQMeatlovers,29.43
93,EagleBoys,MidCrust,SuperSupremo,28.54
94,EagleBoys,MidCrust,Hawaiian,28.8
95,EagleBoys,MidCrust,BBQMeatlovers,29.47
96,EagleBoys,MidCrust,BBQMeatlovers,29.38
97,EagleBoys,ThinCrust,Hawaiian,28.54
98,EagleBoys,DeepPan,Hawaiian,29.68
99,EagleBoys,MidCrust,BBQMeatlovers,29.19
100,EagleBoys,MidCrust,Hawaiian,28.79
101,EagleBoys,ThinCrust,SuperSupremo,30.08
102,EagleBoys,ThinCrust,SuperSupremo,29.4
103,EagleBoys,DeepPan,BBQMeatlovers,28.63
104,EagleBoys,MidCrust,BBQMeatlovers,28.76
105,EagleBoys,DeepPan,SuperSupremo,28.76
106,EagleBoys,ThinCrust,Hawaiian,30.31
107,EagleBoys,MidCrust,BBQMeatlovers,28.86
108,Dominos,ClassicCrust,Supreme,27.04
109,Dominos,ThinNCrispy,BBQMeatlovers,28.71
110,Dominos,DeepPan,Hawaiian,27
111,Dominos,ClassicCrust,Hawaiian,26.77
112,Dominos,ThinNCrispy,Supreme,29.19
113,Dominos,DeepPan,BBQMeatlovers,26.59
114,EagleBoys,ThinCrust,BBQMeatlovers,29.48
115,EagleBoys,MidCrust,Hawaiian,28.15
116,EagleBoys,DeepPan,SuperSupremo,28.98
117,EagleBoys,ThinCrust,Hawaiian,29.91
118,EagleBoys,DeepPan,BBQMeatlovers,28.94
119,EagleBoys,DeepPan,BBQMeatlovers,29.38
120,EagleBoys,DeepPan,Hawaiian,28.86
121,EagleBoys,MidCrust,SuperSupremo,28.47
122,EagleBoys,ThinCrust,SuperSupremo,29.4
123,EagleBoys,MidCrust,BBQMeatlovers,28.85
124,EagleBoys,DeepPan,SuperSupremo,29.35
125,EagleBoys,ThinCrust,Hawaiian,30.17
126,EagleBoys,DeepPan,BBQMeatlovers,28.54
127,Dominos,ThinNCrispy,Hawaiian,28.95
128,EagleBoys,MidCrust,SuperSupremo,26.58
129,Dominos,ClassicCrust,Hawaiian,26.7
130,Dominos,ClassicCrust,BBQMeatlovers,25.51
131,Dominos,ThinNCrispy,Hawaiian,29.09
132,EagleBoys,DeepPan,Hawaiian,29.92
133,EagleBoys,MidCrust,BBQMeatlovers,28.34
134,EagleBoys,ThinCrust,BBQMeatlovers,30.67
135,EagleBoys,DeepPan,Hawaiian,29.21
136,EagleBoys,MidCrust,SuperSupremo,29.08
137,Dominos,DeepPan,Supreme,26.26
138,Dominos,ThinNCrispy,BBQMeatlovers,29.43
139,Dominos,ClassicCrust,BBQMeatlovers,26.78
140,Dominos,ClassicCrust,BBQMeatlovers,26.28
141,Dominos,ThinNCrispy,Hawaiian,29.21
142,Dominos,DeepPan,Supreme,26.16
143,Dominos,ClassicCrust,BBQMeatlovers,26.47
144,Dominos,ClassicCrust,BBQMeatlovers,26.71
145,Dominos,DeepPan,Supreme,26.7
146,Dominos,ThinNCrispy,Hawaiian,29.14
147,Dominos,ThinNCrispy,Supreme,28.78
148,Dominos,DeepPan,BBQMeatlovers,26.73
149,Dominos,ClassicCrust,Hawaiian,26.28
150,Dominos,DeepPan,Hawaiian,26.42
151,EagleBoys,MidCrust,SuperSupremo,28.42
152,EagleBoys,ThinCrust,SuperSupremo,31.06
153,EagleBoys,DeepPan,BBQMeatlovers,28.68
154,EagleBoys,ThinCrust,BBQMeatlovers,29.34
155,EagleBoys,MidCrust,SuperSupremo,29.01
156,EagleBoys,DeepPan,Hawaiian,29.16
157,EagleBoys,DeepPan,BBQMeatlovers,29.53
158,EagleBoys,ThinCrust,SuperSupremo,29.51
159,EagleBoys,ThinCrust,BBQMeatlovers,28.75
160,EagleBoys,DeepPan,BBQMeatlovers,28.19
161,EagleBoys,MidCrust,Hawaiian,28.98
